Domain,Type,Sponsoring Organisation ,Date
.abbott,generic,"Abbott Laboratories, Inc.",2023-06-08
.abogado,generic,Top Level Domain Holdings Limited,2023-06-08
.academy,generic,"Half Oaks, LLC",2023-06-08
.accountant,generic,dot Accountant Limited,2023-06-08
.accountants,generic,"Knob Town, LLC",2023-06-08
.active,generic,"The Active Network, Inc",2023-06-08
.actor,generic,United TLD Holdco Ltd.,2023-06-08
.ads,generic,Charleston Road Registry Inc.,2023-06-08
.adult,generic,ICM Registry AD LLC,2023-06-08
.afl,generic,Australian Football League,2023-06-08
.agency,generic,"Steel Falls, LLC",2023-06-08
.airforce,generic,United TLD Holdco Ltd.,2023-06-08
.allfinanz,generic,Allfinanz Deutsche Vermögensberatung Aktiengesellschaft,2023-06-08
.alsace,generic,REGION D ALSACE,2023-06-08
.amsterdam,generic,Gemeente Amsterdam,2023-06-08
.android,generic,Charleston Road Registry Inc.,2023-06-08
.apartments,generic,"June Maple, LLC",2023-06-08
.aquarelle,generic,Aquarelle.com,2023-06-08
.archi,generic,STARTING DOT LIMITED,2023-06-08
.army,generic,United TLD Holdco Ltd.,2023-06-08
.associates,generic,"Baxter Hill, LLC",2023-06-08
.attorney,generic,"United TLD Holdco, Ltd",2023-06-08
.auction,generic,"United TLD HoldCo, Ltd.",2023-06-08
.audio,generic,"Uniregistry, Corp.",2023-06-08
.autos,generic,"DERAutos, LLC",2023-06-08
.axa,generic,AXA SA,2023-06-08
.band,generic,"United TLD Holdco, Ltd",2023-06-08
.bank,generic,"fTLD Registry Services, LLC",2023-06-08
.bar,generic,Punto 2012 Sociedad Anonima Promotora de Inversion de Capital Variable,2023-06-08
.barclaycard,generic,Barclays Bank PLC,2023-06-08
.barclays,generic,Barclays Bank PLC,2023-06-08
.bargains,generic,"Half Hallow, LLC",2023-06-08
.bauhaus,generic,Werkhaus GmbH,2023-06-08
.bayern,generic,Bayern Connect GmbH,2023-06-08
.bbc,generic,British Broadcasting Corporation,2023-06-08
.beer,generic,Top Level Domain Holdings Limited,2023-06-08
.berlin,generic,dotBERLIN GmbH & Co. KG,2023-06-08
.best,generic,BestTLD Pty Ltd,2023-06-08
.bid,generic,dot Bid Limited,2023-06-08
.bike,generic,"Grand Hollow, LLC",2023-06-08
.bingo,generic,"Sand Cedar, LLC",2023-06-08
.bio,generic,STARTING DOT LIMITED,2023-06-08
.black,generic,Afilias Limited,2023-06-08
.blackfriday,generic,"Uniregistry, Corp.",2023-06-08
.bloomberg,generic,Bloomberg IP Holdings LLC,2023-06-08
.blue,generic,Afilias Limited,2023-06-08
.bmw,generic,Bayerische Motoren Werke Aktiengesellschaft,2023-06-08
.bnpparibas,generic,BNP Paribas,2023-06-08
.boats,generic,"DERBoats, LLC",2023-06-08
.bond,generic,Bond University Limited,2023-06-08
.boo,generic,Charleston Road Registry Inc.,2023-06-08
.boutique,generic,"Over Galley, LLC",2023-06-08
